Country Name,Country Code,Series,Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Argentina,ARG,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.25UP.ZS,19.77,..,..,..,..,23.23,..,..,..,..,26.79,..,..,..,..,31.06,..,..,..,..,..,..,..
Australia,AUS,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.25UP.ZS,52.22,..,..,..,..,54.98,..,..,..,..,52.95,..,..,..,..,35.37,..,..,..,..,..,..,..
Bolivia,BOL,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.25UP.ZS,21.28,..,..,..,..,23.93,..,..,..,..,21.85,..,..,..,..,15.67,..,..,..,..,..,..,..
Brazil,BRA,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.25UP.ZS,9.79,..,..,..,..,13.97,..,..,..,..,21.25,..,..,..,..,24.62,..,..,..,..,..,..,..
Canada,CAN,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.25UP.ZS,29.37,..,..,..,..,30.98,..,..,..,..,30.42,..,..,..,..,31,..,..,..,..,..,..,..
Chile,CHL,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.25UP.ZS,26.87,..,..,..,..,25.97,..,..,..,..,30.49,..,..,..,..,34.78,..,..,..,..,..,..,..
China,CHN,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.25UP.ZS,17.83,..,..,..,..,21.89,..,..,..,..,22.7,..,..,..,..,18.74,..,..,..,..,..,..,..
Colombia,COL,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.25UP.ZS,11.92,..,..,..,..,17.55,..,..,..,..,25.4,..,..,..,..,22.1,..,..,..,..,..,..,..
Ecuador,ECU,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.25UP.ZS,13.37,..,..,..,..,14.87,..,..,..,..,16.22,..,..,..,..,22,..,..,..,..,..,..,..
France,FRA,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.25UP.ZS,27.23,..,..,..,..,32.93,..,..,..,..,35.89,..,..,..,..,37.47,..,..,..,..,..,..,..
Germany,DEU,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.25UP.ZS,31.4,..,..,..,..,38.77,..,..,..,..,53.62,..,..,..,..,56.85,..,..,..,..,..,..,..
India,IND,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.25UP.ZS,5.91,..,..,..,..,16.75,..,..,..,..,17.95,..,..,..,..,20.76,..,..,..,..,..,..,..
Japan,JPN,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.25UP.ZS,31.05,..,..,..,..,34.98,..,..,..,..,37.88,..,..,..,..,40.24,..,..,..,..,..,..,..
Indonesia,IDN,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.25UP.ZS,10.36,..,..,..,..,9.69,..,..,..,..,13.99,..,..,..,..,20.34,..,..,..,..,..,..,..
Italy,ITA,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.25UP.ZS,21.44,..,..,..,..,26.1,..,..,..,..,30.44,..,..,..,..,33.37,..,..,..,..,..,..,..
"Korea, Rep.",KOR,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.25UP.ZS,36.2,..,..,..,..,36.65,..,..,..,..,37.66,..,..,..,..,34.44,..,..,..,..,..,..,..
Mexico,MEX,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.25UP.ZS,11.95,..,..,..,..,13.13,..,..,..,..,15.35,..,..,..,..,14.87,..,..,..,..,..,..,..
Paraguay,PRY,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.25UP.ZS,11.68,..,..,..,..,14.23,..,..,..,..,23.59,..,..,..,..,18.2,..,..,..,..,..,..,..
Peru,PER,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.25UP.ZS,22.53,..,..,..,..,22.56,..,..,..,..,21.94,..,..,..,..,32.07,..,..,..,..,..,..,..
Portugal,PRT,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.25UP.ZS,11.75,..,..,..,..,15.07,..,..,..,..,11.44,..,..,..,..,12.96,..,..,..,..,..,..,..
Russian Federation,RUS,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.25UP.ZS,24.78,..,..,..,..,28.46,..,..,..,..,26.67,..,..,..,..,22.63,..,..,..,..,..,..,..
South Africa,ZAF,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.25UP.ZS,24.63,..,..,..,..,18.09,..,..,..,..,30.06,..,..,..,..,52.88,..,..,..,..,..,..,..
Spain,ESP,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.25UP.ZS,10.71,..,..,..,..,13.55,..,..,..,..,17.82,..,..,..,..,18.58,..,..,..,..,..,..,..
Turkey,TUR,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.25UP.ZS,6.98,..,..,..,..,10.22,..,..,..,..,14.66,..,..,..,..,16.99,..,..,..,..,..,..,..
Uruguay,URY,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.25UP.ZS,12,..,..,..,..,14.55,..,..,..,..,15.14,..,..,..,..,17.77,..,..,..,..,..,..,..
United States,USA,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.25UP.ZS,35.61,..,..,..,..,32.09,..,..,..,..,36.08,..,..,..,..,35.88,..,..,..,..,..,..,..
United Kingdom,GBR,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.25UP.ZS,6.77,..,..,..,..,6.9,..,..,..,..,29.56,..,..,..,..,44.34,..,..,..,..,..,..,..
"Venezuela, RB",VEN,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.25UP.ZS,7.63,..,..,..,..,10.54,..,..,..,..,16.2,..,..,..,..,27.07,..,..,..,..,..,..,..
